iter	Passed	Remaining
0	7191	17971747
1	13650	17050009
2	20915	17408570
3	27739	17309548
4	33812	16872388
5	41418	17216146
6	48170	17155602
7	54677	17032039
8	62752	17368381
9	70964	17670191
10	77596	17558038
11	84916	17606059
12	92538	17703419
13	99211	17617143
14	106109	17578742
15	113430	17610021
16	120923	17662011
17	127688	17606788
18	134830	17606050
19	141451	17540027
20	148586	17540278
21	155082	17467971
22	161972	17443768
23	168137	17346224
24	174426	17268212
25	181543	17274598
26	189192	17328640
27	196558	17353300
28	204016	17383577
29	211399	17405202
30	218258	17383199
31	225315	17377481
32	232162	17355939
33	240020	17408581
34	246809	17382472
35	252847	17306036
36	259548	17277496
37	267150	17308571
38	273914	17284716
39	281448	17309076
40	288888	17326281
41	296028	17324739
42	303598	17347450
43	311251	17373477
44	317816	17338668
45	325484	17363899
46	332898	17374478
47	340007	17368727
48	347273	17370770
49	354786	17384559
50	361480	17358133
51	368296	17338280
52	375504	17336956
53	382107	17308037
54	389575	17318414
55	396691	17312728
56	403706	17302713
57	410722	17292830
58	417727	17282577
59	423995	17242471
60	431135	17238352
61	438050	17225269
62	445516	17233705
63	451905	17200652
64	458713	17184130
65	466112	17189679
66	473634	17199278
67	480567	17187358
68	481185	16953080
69	487613	16927155
70	494869	16930113
71	502393	16941816
72	508678	16911820
73	516337	16927482
74	522203	16884589
75	529264	16880738
76	536252	16874539
77	542546	16846760
78	549628	16843685
79	557121	16852921
80	563891	16840179
81	571805	16861284
82	579109	16863955
83	584958	16824522
84	590377	16773663
85	597430	16769747
86	604061	16754035
87	610985	16746549
88	618565	16756861
89	625253	16742896
90	632604	16746628
91	639806	16746251
92	645972	16718886
93	652676	16705728
94	659819	16703850
95	666429	16688509
96	672604	16662574
97	678163	16621920
98	685274	16619625
99	691507	16596179
100	699211	16608004
101	705888	16595300
102	713388	16601863
103	720121	16590496
104	726489	16570875
105	733890	16574850
106	740660	16564500
107	747919	16565027
108	754944	16560299
109	761878	16553552
110	769384	16559094
111	777006	16566891
112	783903	16559100
113	790860	16552563
114	797812	16545932
115	804649	16536937
116	811323	16524640
117	818371	16520010
118	825778	16522513
119	833130	16523762
120	839908	16513571
121	845676	16483757
122	851742	16460104
123	859081	16461102
124	866335	16460383
125	872028	16430125
126	877882	16403263
127	884222	16385741
128	891707	16389449
129	898075	16372609
130	905139	16368508
131	911406	16350085
132	918407	16344894
133	925909	16348521
134	932752	16340445
135	940259	16343916
136	947922	16349932
137	954339	16334420
138	961154	16325802
139	967829	16314844
140	974313	16300754
141	979979	16273188
142	988327	16290126
143	995816	16292671
144	1001878	16271890
145	1009559	16277416
146	1016449	16270104
147	1023795	16270042
148	1030979	16267330
149	1038102	16263608
150	1044213	16244093
151	1051482	16242641
152	1057824	16226891
153	1065086	16225276
154	1072325	16223243
155	1079641	16222303
156	1085567	16200538
157	1093467	16208233
158	1099940	16194726
159	1106858	16187801
160	1114138	16186152
161	1121674	16188123
